년도,거주지,개수
2012,노원구,1206
2012,성북구,999
2012,강남구,935
2012,동대문구,921
2012,서초구,920
2012,양천구,919
2012,송파구,912
2012,구로구,905
2012,영등포구,857
2012,은평구,837
2012,강서구,829
2012,중랑구,765
2012,용산구,756
2012,강동구,749
2012,강북구,736
2012,관악구,676
2012,마포구,660
2012,동작구,653
2012,성동구,642
2012,광진구,624
2012,종로구,615
2012,경기,607
2012,도봉구,607
2012,서대문구,569
2012,중구,519
2012,금천구,424
2012,인천,86
2012,부산,14
2012,충북,9
2012,대구,9
2012,충남,7
2012,전남,6
2012,강원,5
2012,대전,5
2012,충청도,3
2012,경상도,2
2012,경남,2
2012,세종시,2
2012,전북,2
2012,전라도,2
2012,경북,1
2012,울산,1
2012,제주,1
2012,광주,1
